Size BST-Insert BST-Find AVL-Insert ABL-Find
172000 14550800 542813 10862290 149483
173000 14626835 545705 10919053 150271
174000 14702899 548533 10975840 151057
175000 14779059 551396 11032662 151843
176000 14855153 554239 11089356 152625
177000 14931649 557091 11146198 153406
178000 15007729 559915 11203077 154193
179000 15083953 562779 11259871 154978
180000 15160371 565636 11317034 155762
181000 15236987 568483 11373991 156543
182000 15313089 571322 11430903 157326
183000 15389261 574170 11487733 158118
184000 15465389 577023 11544769 158901
185000 15541729 579844 11601569 159680
186000 15617749 582713 11658396 160463
187000 15693841 585514 11715138 161248
188000 15770066 588362 11771938 162028
189000 15846110 591197 11828835 162824
190000 15922353 594031 11885637 163609
191000 15998360 596855 11942600 164396
192000 16074356 599709 11999519 165181
193000 16150815 602623 12056279 165964
194000 16227178 605471 12113173 166749
195000 16303459 608319 12170159 167538
196000 16379693 611150 12227102 168319
197000 16455881 614013 12283875 169099
198000 16532139 616852 12340795 169884
199000 16608247 619683 12397980 170674
200000 16686136 622516 12456208 171453
201000 16762089 625303 12513080 172241
202000 16838254 628142 12569831 173030
203000 16914633 630995 12626592 173813
204000 16990684 633840 12683439 174592
205000 17066679 636686 12740242 175378
206000 17142969 639549 12796959 176160
207000 17218930 642394 12853727 176948
208000 17294889 645252 12910445 177735
209000 17370972 648081 12967255 178519
210000 17446932 650912 13024165 179305
211000 17522973 653742 13080894 180086
212000 17598983 656582 13137744 180868
213000 17675595 659397 13194615 181660
214000 17751741 662361 13251506 182447
215000 17828638 665246 13308866 183229
216000 17906193 668172 13366710 184029
217000 17983486 671074 13424553 184824
218000 18061098 673981 13483190 185623
219000 18138728 676864 13541015 186425
220000 18216340 679835 13599025 187224
221000 18294305 682736 13657504 188025
222000 18372158 685577 13715313 188823
223000 18449863 688423 13773190 189619
224000 18527543 691279 13831053 190422
225000 18605454 694136 13888900 191224
226000 18682647 696983 13946275 192021
227000 18759002 699782 14003111 192814
228000 18835293 702585 14060115 193596
229000 18911678 705397 14116962 194381
230000 18987823 708260 14173840 195167
231000 19064060 711105 14230617 195956
232000 19140095 713961 14287278 196746
233000 19216111 716828 14344069 197529
234000 19292245 719691 14400967 198316
235000 19368854 722511 14457817 199108
236000 19446280 725332 14515252 199901
237000 19523956 728167 14572876 200696
238000 19601596 730992 14630336 201496
239000 19679286 733829 14688114 202296
240000 19756183 736655 14745352 203091
241000 19832353 739461 14802146 203871
242000 19908826 742261 14858854 204659
243000 19985463 745085 14915808 205447
244000 20061925 747947 14972780 206235
245000 20138454 750772 15029857 207024
246000 20215757 753674 15087229 207817
247000 20293699 756544 15145221 208619
248000 20371174 759426 15202846 209417
249000 20449079 762309 15260618 210208
250000 20526722 765195 15318382 211005
