Size BST-Insert BST-Find AVL-Insert ABL-Find
174000 3519359 163822 10735500 148440
175000 3537054 164644 10789779 149173
176000 3554692 165472 10843764 149898
177000 3572368 166290 10897673 150634
178000 3590056 167111 10951467 151375
179000 3607754 167926 11005459 152111
180000 3625400 168743 11059274 152897
181000 3643137 169559 11113074 153636
182000 3660768 170375 11166915 154376
183000 3678408 171198 11220828 155112
184000 3696348 172015 11274968 155849
185000 3714145 172830 11329028 156591
186000 3731853 173648 11383222 157330
187000 3749525 174466 11437187 158067
188000 3767197 175286 11491153 158802
189000 3784877 176101 11544994 159543
190000 3802530 176914 11598927 160279
191000 3820222 177732 11652812 161017
192000 3837890 178547 11706814 161756
193000 3855524 179374 11760680 162491
194000 3873178 180189 11814597 163234
195000 3890837 181008 11868457 163980
196000 3908514 181830 11922354 164716
197000 3926154 182650 11976216 165456
198000 3943815 183473 12030156 166195
199000 3961540 184298 12084136 166934
200000 3979313 185126 12138286 167655
201000 3997016 185953 12192194 168379
202000 4014786 186784 12246314 169104
203000 4032523 187609 12300372 169823
204000 4050229 188429 12354246 170560
205000 4068012 189253 12408064 171293
206000 4085731 190072 12461841 172029
207000 4103444 190885 12515690 172770
208000 4121133 191709 12569525 173510
209000 4138853 192529 12623394 174248
210000 4156540 193870 12677276 174989
211000 4174302 194691 12731421 175730
212000 4191993 195512 12785263 176464
213000 4209776 196334 12839081 177204
214000 4227553 197155 12892932 177946
215000 4245321 197974 12946813 178684
216000 4263066 198801 13000701 179426
217000 4280784 199617 13054897 180165
218000 4298495 200436 13108801 180904
219000 4316221 201255 13163007 181648
220000 4333951 202077 13217103 182386
221000 4351670 202900 13271192 183125
222000 4369448 203720 13325592 183869
223000 4387204 204539 13379971 184610
224000 4404933 205357 13433924 185352
225000 4422659 206177 13487833 186090
226000 4440387 206995 13541778 186828
227000 4458131 207816 13595553 187566
228000 4475895 208639 13649368 188309
229000 4493616 209454 13703108 189050
230000 4511349 210272 13757095 189791
231000 4529120 211094 13810953 190530
232000 4546846 211924 13865209 191278
233000 4564535 212748 13919638 192018
234000 4582343 213579 13973858 192761
235000 4600055 214402 14027768 193501
236000 4617796 215226 14082100 194245
237000 4635555 216048 14136451 194989
238000 4653553 216883 14191598 195738
239000 4671638 217725 14247351 196496
240000 4690237 218568 14302934 197252
241000 4707855 219395 14356772 197989
242000 4725487 220218 14410744 198726
243000 4743115 221041 14464651 199463
244000 4762002 221865 14520754 200204
245000 4780363 222684 14574634 200941
246000 4798037 223503 14628612 201675
247000 4816011 224335 14683511 202426
248000 4834000 225165 14738672 203177
249000 4851995 226004 14793447 203927
250000 4869968 226840 14848271 204681
