Size BST-Insert BST-Find AVL-Insert ABL-Find
172000 14462738 530876 10756828 151640
173000 14540134 533699 10814291 152446
174000 14616285 536472 10870917 153249
175000 14692726 539265 10927526 154038
176000 14769524 542139 10984620 154830
177000 14845654 544904 11041316 155624
178000 14923397 547718 11099121 156435
179000 15000243 550517 11156148 157236
180000 15076477 553294 11212789 158029
181000 15152662 556077 11269615 158826
182000 15229534 558881 11326888 159639
183000 15307288 561715 11384748 160451
184000 15384214 564525 11442344 161252
185000 15460907 567332 11499541 162056
186000 15538352 570150 11557241 162859
187000 15614868 572947 11614227 163653
188000 15691797 575752 11671438 164453
189000 15768284 578534 11728194 165245
190000 15844832 581327 11785246 166040
191000 15921263 584113 11842686 166843
192000 15997529 586886 11899566 167637
193000 16073740 589685 11956297 168439
194000 16149700 592468 12012906 169244
195000 16225543 595257 12069349 170040
196000 16301984 598311 12128335 170838
197000 16378250 601072 12184802 171636
198000 16454414 603853 12241307 172432
199000 16530403 606631 12297860 173225
200000 16606500 609397 12354430 174018
201000 16685320 612292 12414575 174852
202000 16761136 615099 12471008 175650
203000 16837213 617929 12527399 176443
204000 16913344 620703 12583756 177244
205000 16989286 623479 12640087 178040
206000 17065264 626276 12696370 178830
207000 17141121 629076 12752716 179618
208000 17217108 631869 12809230 180411
209000 17293242 634679 12865701 181207
210000 17369530 637475 12922506 181997
211000 17445884 640271 12978959 182774
212000 17522061 643069 13035637 183565
213000 17598208 645851 13091907 184369
214000 17674202 648650 13148371 185159
215000 17750083 651439 13204897 185957
216000 17825969 654225 13261308 186750
217000 17901880 657030 13317747 187540
218000 17977733 659837 13374221 188334
219000 18053791 662632 13430648 189126
220000 18129924 665428 13487152 189919
221000 18206291 668221 13543650 190719
222000 18282874 671045 13600190 191511
223000 18360404 673892 13657948 192318
224000 18436863 676669 13714887 193117
225000 18513056 679469 13771374 193915
226000 18589124 682241 13828520 194705
227000 18665247 685036 13884873 195473
228000 18741454 687825 13941951 196247
229000 18817654 690607 13998401 197016
230000 18893845 693404 14054898 197789
231000 18969932 696179 14111414 198587
232000 19048194 699042 14169224 199391
233000 19128251 701964 14228373 200220
234000 19204724 704803 14285633 201041
235000 19280528 707581 14341958 201839
236000 19356378 710367 14398290 202635
237000 19432300 713179 14454779 203432
238000 19508119 715976 14511053 204230
239000 19583986 718771 14567565 205026
240000 19659826 721556 14623937 205822
241000 19735751 724349 14680592 206613
242000 19811783 727130 14737036 207407
243000 19889748 729976 14794768 208219
244000 19966020 732783 14851534 208999
245000 20042205 735580 14908238 209785
246000 20118493 738357 14964760 210576
247000 20194621 741134 15021415 211370
248000 20270915 743920 15078433 212156
249000 20347001 746676 15134945 212954
250000 20423354 749455 15191466 213752
