Size BST-Insert AVL-Insert BST-Find AVL-Find
236 11255 1692 13799 1332
237 11779 1703 14150 1455
238 11536 1745 13880 1444
239 10650 1625 13884 1085
240 11012 1692 13870 1099
241 11384 1882 14149 1407
242 12027 1702 14022 1366
243 11326 1664 13604 1335
244 12295 1740 13672 1340
245 12350 1722 14389 1432
246 11640 2085 14322 1397
247 11993 1698 13720 1252
248 12559 1733 13880 1232
249 12597 1712 13084 1490
250 12174 1742 13100 1479
251 12257 2314 14796 1343
252 11932 1715 14822 1352
253 11927 1674 14598 1559
254 11789 1732 14555 1525
255 12077 1732 14319 603
256 12539 1732 14277 599
257 12212 1903 13570 1291
258 13112 1802 13550 1256
259 13252 1807 14477 1179
260 11966 1778 14546 1184
261 13092 1807 14240 1290
262 13290 1820 14105 1282
263 13322 1829 15152 1119
264 12979 1861 15270 1113
265 12289 1834 15645 1312
266 12389 1840 15579 1299
267 12305 1848 15557 1330
268 12559 1877 15694 1294
269 12852 1877 15998 1363
270 12135 1843 16192 1340
271 12216 1934 15826 986
272 12217 1801 15844 979
273 12320 1841 15219 1195
274 12390 1870 15194 1192
275 12388 1837 16054 1216
276 12484 1816 16029 1199
277 12515 1831 16314 1344
278 12574 1857 16289 1345
279 12826 1907 15942 1266
280 12708 1848 15976 1165
281 13372 1859 15083 1358
282 12930 1899 14762 1344
283 12902 1913 16231 1332
284 14164 1787 16161 1310
285 14118 1844 16050 1449
286 14369 1834 16072 1411
287 14402 1865 16719 889
288 13694 1872 16684 869
289 14408 1854 15979 1205
290 14722 1813 15958 1209
291 13714 1787 16840 1234
292 15185 1811 16880 1227
293 14397 1908 16147 1369
294 14424 1837 16060 1337
295 14022 1909 15672 1127
296 14878 1822 15702 1117
297 14185 1884 17168 1372
298 14727 1890 17271 1346
299 15004 1921 17730 1267
300 13405 1749 17591 1257
301 13831 1782 17479 1432
302 13780 1803 17527 1418
303 14782 1897 17670 1038
304 14215 1853 17631 1015
305 14478 1885 17961 1411
306 14150 1847 17900 1397
307 14160 1857 17931 1312
308 14252 1870 17974 1268
309 14312 1863 17711 1513
310 14351 1865 17672 1472
311 15303 1881 17846 1197
312 14317 1806 17763 1180
313 14365 1831 18513 1432
314 15314 1877 17798 1404
315 14809 1877 17297 1343
316 15210 1830 17426 1305
317 14334 1832 19106 1450
318 14622 1870 18486 1481
319 15157 1859 18732 804
320 15050 1832 18647 872
321 16019 1964 18863 1336
322 16181 1846 19373 1339
323 16197 1997 18362 1289
324 15094 1805 18548 1281
325 16305 1880 19115 1371
326 16083 1882 19102 1372
327 16413 1859 18198 1331
328 16155 1857 17940 1223
329 16519 1762 18136 1506
330 15052 1834 18182 1510
331 15248 1832 19081 1353
332 15262 1855 18456 1310
333 16070 1802 17899 1535
334 15032 1862 17891 1522
335 15362 1843 19092 1092
336 16464 1785 19230 1089
337 15945 1830 19447 1371
338 15547 1801 19437 1349
339 15799 1787 20095 1311
340 15722 1766 19282 1264
341 16402 1771 19555 1377
342 15244 1742 19536 1370
343 16465 1852 18043 1135
344 15575 1798 18040 1128
345 16503 1889 18196 1366
346 16857 1870 18430 1362
347 16117 1868 19759 1314
348 16738 1881 19697 1300
349 17020 1982 20145 1434
350 16938 1867 19821 1439
351 16381 1861 17557 962
352 16377 1831 17688 962
353 15867 1790 20015 1361
354 16223 1829 20445 1352
355 17044 1947 19256 1259
356 17880 1882 19265 1259
357 16917 1919 17554 1335
358 17062 1830 18159 1358
359 17341 1925 18254 1203
360 17100 1870 18804 1229
361 17119 1981 20415 1600
362 17433 1826 20181 1496
363 15844 1771 19092 1404
364 17551 1762 19018 1388
365 17400 1851 20484 1486
366 16465 1786 20502 1438
367 17516 1797 20029 1160
368 17873 1835 20042 1153
369 18102 1793 21147 1475
370 17675 1808 19577 1429
371 18706 1926 19875 1326
372 18143 1840 19576 1292
373 17757 1789 21022 1494
374 18145 1822 20996 1464
375 16526 1767 21158 1227
376 16385 1807 21249 1224
377 18359 1787 22093 1564
378 18483 1947 22352 1545
379 18065 1855 20361 1472
380 18299 1834 20018 1447
381 18120 1787 21387 1544
382 18123 1756 21486 1483
383 18418 1775 20950 766
384 18428 1802 21488 840
385 18029 1792 20385 1438
386 18445 1775 20268 1403
387 18560 1787 22034 1271
388 18569 1759 21870 1252
389 17417 1777 22624 1414
390 17785 2008 22389 1463
391 19128 1832 19617 1140
392 19028 1787 19791 1162
393 17612 1771 20782 1377
394 18137 1835 20875 1407
395 18884 1856 22333 1348
396 17907 1857 22323 1349
397 19006 1825 21675 1544
398 18947 1783 21775 1526
399 18407 1898 22978 1089
400 19247 1864 23114 1085
401 19087 1789 19978 1444
402 19300 1787 19884 1407
403 17524 1690 21288 1304
404 19242 1749 21381 1287
405 18201 1755 23058 1484
406 19381 1854 23007 1468
407 20044 1831 21021 1290
408 19411 1767 20677 1267
409 17989 1745 20781 1537
410 18540 1777 20734 1505
411 18919 1804 22399 1351
412 20710 1929 22345 1332
413 18720 1860 22420 2424
414 18195 1800 21619 1534
415 20220 1817 23149 1095
416 20335 1951 23640 1321
417 19904 1942 22765 1414
418 18735 1800 22825 1401
419 19527 1796 23343 1397
420 20660 1833 23327 1423
421 19756 1835 24357 1478
422 19156 1837 25193 1557
423 29099 1892 21112 1334
424 21048 1920 21010 1322
425 20185 1784 23269 1487
426 20172 1780 24178 1484
427 19856 1836 24133 1327
428 19214 1788 24157 1377
429 20400 1874 22873 1570
430 20694 1817 22762 1545
431 20359 1793 21953 1164
432 20348 1790 21847 1161
433 20845 1793 24636 1425
434 19623 1821 24535 1441
435 20512 1833 24617 1332
436 19702 1772 24672 1325
437 21204 1808 22200 1461
438 19738 1777 21971 1398
439 20696 1787 25132 1217
440 20771 1823 24742 1219
441 20157 1771 21571 1601
442 21424 1952 21219 1516
443 20841 1782 22537 1452
444 21025 1777 22388 1524
445 19588 1765 22067 1614
446 19612 1717 22837 1569
447 20671 1823 22610 994
448 20700 1848 21756 981
449 20064 1748 23368 1425
450 20315 1807 22731 1414
451 20211 1792 22048 1430
452 19609 1786 22023 1426
453 19677 1797 22219 1620
454 20959 1812 22847 1590
455 21665 2011 22827 1302
456 21947 1803 22563 1262
457 21639 1914 22874 1475
458 19914 1796 23240 1454
459 22234 1872 23290 1518
460 23281 1925 22560 1472
461 22275 1791 23817 1689
462 21789 1804 22736 1637
463 22424 1995 23739 1280
464 21609 1939 23638 1262
465 21742 1918 23810 1514
466 21864 2006 22912 1491
467 20988 1771 23744 1292
468 20994 1819 24623 1320
469 22474 1871 22815 1403
470 21542 1944 22804 1389
471 21139 1847 26272 1244
472 20680 1827 26136 1209
473 20768 1816 26706 1428
474 21004 1872 26453 1435
475 22182 1770 24767 1430
476 20588 1738 24747 1416
477 22500 1738 23522 1434
478 22377 1772 23464 1435
479 21366 1687 24964 1025
480 20963 1782 24975 1014
481 22683 2001 26732 1384
482 22042 1931 26877 1380
483 22788 1792 27030 1312
484 23028 1767 27109 1319
485 22242 1877 25295 1458
486 22915 2125 25522 1439
487 22673 1725 26282 1309
488 23269 1794 26432 1420
489 23096 1787 26337 1602
490 22504 1832 26321 1571
491 22060 1813 27330 1439
492 21712 1830 27382 1375
493 21647 1796 25651 1670
494 22212 1851 25638 1615
495 23743 1750 26686 1243
496 23142 1807 26696 1230
497 23015 1832 27320 1539
498 23412 1870 26999 1530
499 23021 1801 26222 1530
500 22558 1882 26321 1512
501 23105 1816 26331 1644
502 22552 1995 26283 1613
503 23559 1748 25402 1397
504 23372 1859 25407 1382
505 23662 1785 25520 1605
506 24308 1800 25517 1582
507 23842 1743 25522 1497
508 24377 1796 25282 1515
509 22134 1682 25782 1618
510 22704 1711 25791 1610
511 22999 1702 26881 632
512 22815 1710 27153 634
513 24199 1897 28555 1335
514 22057 1797 28665 1276
515 22984 1807 28005 1185
516 24496 1898 28003 1176
517 23697 1933 28492 1354
518 23135 1953 28248 1344
519 23766 1943 27416 1096
520 24144 1923 27187 1104
521 23194 1889 29237 1342
522 24143 1959 28993 1407
523 25061 1952 28447 1243
524 24900 1965 28425 1240
525 23363 1872 28776 1424
526 24523 1912 28818 1424
527 24820 1953 27736 1110
