Size BST-Insert AVL-Insert BST-Find AVL-Find
237 11368 1653 13542 1416
238 11142 1693 13434 1403
239 10259 1574 13485 1052
240 10690 1648 13454 1067
241 10988 1796 13606 1372
242 11886 1665 13590 1332
243 10760 1610 13160 1295
244 11893 1684 13189 1307
245 11929 1670 13940 1386
246 11244 1629 13868 1405
247 11594 1643 13269 1211
248 12107 1676 13252 1193
249 12184 1662 12644 1443
250 11757 1694 12683 1432
251 11841 1683 14457 1306
252 12062 1691 14392 1317
253 11521 1625 14140 1509
254 11410 1673 14092 1475
255 11732 1684 13836 580
256 12180 1682 13848 580
257 11815 1824 13107 1245
258 12671 1742 13195 1221
259 12722 1761 14053 1140
260 11837 1707 14080 1154
261 12613 1743 13614 1259
262 12849 1758 13607 1246
263 12881 1767 14679 1087
264 12530 1789 14760 1076
265 11833 1770 15149 1277
266 11924 1782 15112 1264
267 11784 1800 15111 1292
268 12290 1817 15117 1257
269 12340 1824 15822 1323
270 11832 1781 15402 1348
271 11733 1792 15319 954
272 11785 1740 15352 952
273 11920 1792 14697 1159
274 12020 1802 14797 1159
275 11968 1776 15519 1172
276 12163 1859 15511 1163
277 12045 1778 15799 1306
278 12122 1794 15844 1300
279 12263 1841 15412 1160
280 12250 1779 15359 1132
281 12959 1857 14193 1317
282 12425 1832 14271 1297
283 12434 1865 15695 1292
284 12976 1723 16433 1277
285 13639 1793 15650 1409
286 13997 1784 15553 1377
287 13905 1811 16094 912
288 13147 1772 16153 850
289 13848 1800 15358 1170
290 14224 1751 15600 1177
291 13247 1718 16313 1197
292 14207 1744 16342 1179
293 13887 1784 15610 1339
294 13937 1775 15545 1304
295 13505 1848 15133 1090
296 14386 1756 15155 1081
297 14194 1822 16883 1322
298 14238 1931 16727 1295
299 14420 1766 17737 1227
300 12918 1712 17187 1223
301 13193 1715 16925 1390
302 13257 1746 16968 1369
303 14582 1844 17117 1007
304 13713 1867 17073 982
305 13849 1780 17306 1366
306 13628 1775 17309 1366
307 13552 1793 17350 1267
308 13753 1790 17567 1232
309 13805 1867 17126 1474
310 13858 1857 17051 1430
311 14720 1823 17202 1160
312 13639 1733 17160 1147
313 13835 1770 17200 1392
314 14592 1784 17215 1363
315 14272 1808 16682 1272
316 14349 1770 16800 1260
317 13793 1773 17847 1414
318 14037 1811 18126 1430
319 14501 1806 18186 782
320 14665 1765 18026 843
321 15271 1847 18242 1307
322 15591 1794 18197 1300
323 15388 1812 17743 1249
324 14541 1869 17732 1245
325 16293 1827 18391 1327
326 15450 1817 18436 1327
327 15821 1792 17392 1203
328 15558 1741 17325 1260
329 16000 1709 17514 1469
330 14536 1767 17715 1463
331 14862 2055 18439 1307
332 15130 1762 18295 1296
333 15774 1782 17787 1527
334 14918 1837 18010 1510
335 15235 1828 18915 1077
336 16230 1773 18949 1074
337 15417 1809 19293 1347
338 15419 1773 19377 1346
339 15583 1775 19301 1302
340 15400 1731 19545 1252
341 16289 1761 19402 1365
342 15257 1791 19450 1358
343 16593 1809 17893 1127
344 15564 1790 17893 1119
345 16459 1857 18091 1357
346 16850 1857 18257 1353
347 15987 1857 19738 1304
348 16874 1848 19562 1286
349 16888 1832 19651 1420
350 16693 1841 19692 1423
351 16179 1848 17369 953
352 16267 1822 17414 952
353 15789 1776 19898 1341
354 16098 1803 20172 1340
355 16497 1818 18806 1227
356 17087 1818 18671 1215
357 16144 1851 17512 1323
358 16519 1804 17410 1319
359 16475 1935 17809 1191
360 16345 1789 17786 1187
361 16367 1762 19537 1495
362 17399 1975 19443 1480
363 15727 1752 18981 1384
364 17414 1753 18861 1377
365 17257 1844 20324 1466
366 16088 1813 20407 1431
367 17387 1764 20066 1152
368 17702 1826 19826 1144
369 17509 1788 19222 1432
370 17644 1793 19222 1411
371 18032 1825 19448 1284
372 18196 1814 19467 1285
373 17705 1782 20919 1598
374 18323 1809 21055 1461
375 16457 1754 21054 1219
376 16320 1783 21266 1216
377 18256 1910 21210 1500
378 17942 1871 21158 1493
379 17418 1787 19915 1452
380 18197 1814 19917 1432
381 18146 2100 21601 1533
382 17941 1746 21421 1482
383 18223 1770 20780 764
384 18497 1799 20729 812
385 18031 1774 20504 1440
386 18364 1770 20640 1396
387 18712 1790 21866 1268
388 18595 1760 21771 1247
389 17607 1767 21855 1400
390 17065 1792 21910 1375
391 18693 1815 19426 1131
392 18029 1901 19475 1129
393 17521 1767 20917 1373
394 18195 1818 20743 1337
395 18737 1825 22207 1339
396 17878 1780 22336 1340
397 19038 1809 21576 1538
398 18829 1799 21541 1513
399 18303 1994 22637 1082
400 19110 1760 22564 1083
401 18135 1724 19870 1430
402 17886 1767 19837 1429
403 17349 1884 21209 1292
404 19204 1755 21388 1281
405 18112 1821 23191 1480
406 19289 1790 22937 1447
407 19264 1847 20887 1269
408 19057 1741 20463 1259
409 17937 2036 20636 1523
410 18397 1758 20666 1495
411 18717 1827 21548 1339
412 19390 1831 21657 1297
413 18527 1864 21591 1642
414 18186 1783 21498 1536
415 19547 1831 22552 1054
416 19567 1835 22472 1058
417 18639 1856 22028 1376
418 18066 1764 22060 1365
419 19096 1801 22017 1362
420 19696 1785 22386 1338
421 18909 1826 23730 1434
422 18563 1849 23634 1416
423 20164 1847 20552 1328
424 20435 1789 20510 1281
425 20139 1790 23179 1480
426 20084 1791 23145 1479
427 19555 1895 24067 1324
428 19149 1815 24044 1320
429 20748 1877 22717 1555
430 20639 1817 22652 1540
431 20252 1797 21968 1165
432 20306 1797 21745 1155
433 20711 1832 24415 1427
434 19360 1827 24439 1433
435 20384 1854 24504 1329
436 19635 1786 24539 1322
437 20567 1839 21671 1411
438 19903 1782 21725 1385
439 20554 1782 24661 1215
440 20715 1830 24779 1205
441 20431 1822 21193 1580
442 20820 1822 21108 1501
443 20728 1762 22327 1451
444 19952 1760 22282 1468
445 19476 1761 21960 1613
446 19592 1712 22055 1564
447 19920 1802 21662 978
448 19903 1832 21658 977
449 19968 1807 22341 1417
450 19574 1747 22222 1406
451 20115 1830 22091 1424
452 19489 1788 22015 1413
453 19766 1835 22164 1614
454 20756 1878 22114 1580
455 20853 1833 22527 1257
456 21910 1778 22013 1250
457 20511 1841 22765 1460
458 19838 1810 22774 1446
459 22193 1855 22530 1457
460 21701 1817 22464 1456
461 21625 1806 22596 1634
462 21653 2048 22728 1630
463 21949 1792 22694 1225
464 20840 1869 22784 1216
465 20958 1822 22774 1498
466 21392 1779 22890 1468
467 20881 1780 23123 1278
468 20159 1731 23172 1280
469 21463 1800 22712 1392
470 21469 1910 22688 1386
