Size BST-Insert AVL-Insert BST-Find AVL-Find
301 1315 135 1537 96
302 1332 129 1532 82
303 1346 148 1557 72
304 1336 146 1547 58
305 1357 178 1584 120
306 1372 159 1559 88
307 1372 183 1574 95
308 1374 172 1556 77
309 1367 138 1569 158
310 1385 178 1546 99
311 1387 143 1568 81
312 1374 126 1552 67
313 1386 149 1557 137
314 1447 137 1685 93
315 1392 122 1556 126
316 1384 114 1549 96
317 1388 124 1662 165
318 1425 126 1737 113
319 1427 142 1662 47
320 1423 144 1653 37
321 1439 192 1676 153
322 1513 147 1650 95
323 1440 140 1643 131
324 1438 124 1613 80
325 1470 137 1677 134
326 1467 158 1663 92
327 1460 143 1625 127
328 1459 129 1611 80
329 1465 134 1641 147
330 1452 130 1614 104
331 1474 139 1688 106
332 1487 141 1680 76
333 1479 138 1676 139
334 1464 109 1659 175
335 1470 115 1779 93
336 1486 130 1766 72
337 1503 156 1751 126
338 1499 137 1742 97
339 1501 131 1767 117
340 1510 129 1765 86
341 1511 129 1768 112
342 1526 120 1766 92
343 1534 142 1636 115
344 1552 148 1623 88
345 1565 175 1654 123
346 1573 156 1647 92
347 1555 154 1784 88
348 1566 176 1765 75
349 1564 157 1797 104
350 1573 157 1891 82
351 1577 154 1586 66
352 1587 150 1557 48
353 1591 186 1827 145
354 1593 171 1822 97
355 1597 138 1699 113
356 1601 140 1695 81
357 1621 147 1485 159
358 1615 143 1471 109
359 1623 133 1520 132
360 1629 151 1507 86
361 1587 148 2093 159
362 1612 132 1675 94
363 1598 120 1682 164
364 1611 125 1653 102
365 1628 148 1784 149
366 1626 135 1761 96
367 1623 142 1720 75
368 1639 148 1706 64
369 1650 169 1714 142
370 1655 147 1690 102
371 1665 161 1703 107
372 1654 139 1680 83
373 1659 140 1818 137
374 1671 152 1808 99
375 1651 127 1830 92
376 1653 124 1811 71
377 1666 137 1875 239
378 1700 144 1836 160
379 1834 148 1791 122
380 1702 141 1768 86
381 1703 146 1875 145
382 1645 132 1857 99
383 1673 156 1825 58
384 1670 129 1801 40
385 1685 185 1824 200
386 1689 139 1797 120
387 1685 127 1904 136
388 1696 138 1885 86
389 1687 143 1904 141
390 1988 130 1883 97
391 1715 147 1671 105
392 1727 148 1707 70
393 1730 181 1804 119
394 1731 150 1868 84
395 1727 152 1948 108
396 1739 152 1925 76
397 1740 150 1896 179
398 1752 155 1870 105
399 1759 155 1955 67
400 1770 140 1932 56
401 1762 150 1773 110
402 1767 139 1755 81
403 1734 125 1867 75
404 1745 121 1852 67
405 1751 137 2007 112
406 1775 130 1979 92
407 1787 145 1813 85
408 1777 148 1798 67
409 1781 139 1813 114
410 1785 148 1802 82
411 1792 150 1888 92
412 1801 146 1882 73
413 1847 139 2062 173
414 1807 134 1911 102
415 1813 134 1954 74
416 1831 142 1945 55
417 1839 173 1928 114
418 1822 134 1917 80
419 2222 146 1982 123
420 1843 142 1955 85
421 1853 160 2076 112
422 1846 139 2054 83
423 1851 131 1803 123
424 1870 147 1790 74
425 1873 156 2020 138
426 1882 146 2009 93
427 1877 150 2107 102
428 1886 161 2103 78
429 1969 167 2062 164
430 1892 146 2020 117
431 1895 138 1934 67
432 1871 137 1908 54
433 1909 184 2163 113
434 1920 155 2144 83
435 1930 136 2137 98
436 1915 137 2117 75
437 1915 132 1871 130
438 1904 126 1868 102
439 1913 136 2170 109
440 2025 127 2178 67
441 1926 148 1849 183
442 1946 135 1825 108
443 1945 147 1996 147
444 1944 130 1963 102
445 1946 139 1961 153
446 1934 127 1944 104
447 1938 118 1908 67
448 2124 115 1889 50
449 1980 179 2013 167
450 1987 148 1977 92
451 1983 146 1958 192
452 1994 157 1922 99
453 2013 178 1948 170
454 2000 142 1936 115
455 1997 140 1993 114
456 1994 125 1927 79
457 2000 142 2072 146
458 2074 156 2056 106
459 2026 145 2028 114
460 2011 122 2012 101
461 2038 131 2049 155
462 2014 112 2017 113
463 2031 138 2043 72
464 2044 154 2038 61
465 2047 150 2427 154
466 2074 154 2027 92
467 2026 127 2000 121
468 2031 121 2000 88
469 2044 137 1927 140
470 2069 147 1926 102
471 2086 162 2257 92
472 2083 142 2259 70
473 2082 167 2224 120
474 2088 157 2207 87
475 2061 112 2157 120
476 2067 117 2154 89
477 2079 126 1967 151
478 2072 113 1965 119
479 2047 130 2137 95
480 2064 147 2135 65
481 2083 185 2319 157
482 2414 163 2305 103
483 2102 149 2397 117
484 2090 142 2270 79
485 2097 137 2181 118
486 2104 135 2264 90
487 2161 132 2243 129
488 2212 157 2222 78
489 2135 166 2249 127
490 2138 147 2234 87
491 2152 158 2409 117
492 2152 157 2384 85
493 2144 167 2269 211
494 2152 163 2247 120
495 2140 137 2313 134
496 2142 130 2289 85
497 2243 155 2299 195
498 2169 144 2287 118
499 2158 121 2325 186
500 2179 142 2295 123
501 2178 146 2311 156
502 2307 129 2298 115
503 2199 140 2236 130
504 2206 145 2207 87
505 2209 164 2349 143
506 2221 150 2212 97
507 2211 138 2239 117
508 2222 139 2232 91
509 2174 128 2249 117
510 2193 124 2223 105
511 2341 143 2418 52
512 2203 137 2447 35
513 2214 184 2507 129
514 2197 119 2535 85
515 2221 139 2402 123
516 2237 146 2384 82
517 2245 162 2402 107
518 2243 144 2387 78
519 2252 177 2344 107
520 2245 146 2324 82
521 2241 152 2574 152
522 2252 141 2444 104
523 2269 160 2455 101
524 2268 160 2437 70
525 2262 150 2460 151
526 2271 134 2434 94
527 2284 150 2475 108
528 2284 136 2448 72
529 2294 162 2324 149
530 2313 169 2299 99
531 2306 162 2334 80
532 2305 151 2313 76
533 2328 157 2318 136
534 2332 167 2335 93
535 2337 156 2375 72
536 2338 133 2354 64
537 2311 156 2404 164
538 2334 148 2410 105
539 2325 142 2401 164
540 2359 132 2230 87
541 2342 139 2258 160
542 2350 142 2237 110
543 2357 150 2304 54
544 2372 167 2255 36
545 2382 194 2303 142
546 2359 155 2273 94
547 2379 151 2320 101
548 2373 131 2290 72
549 2400 163 2341 144
550 2412 166 2294 67
551 2404 158 2313 59
552 2403 143 2300 42
553 2409 155 2320 107
554 2409 145 2304 58
555 2429 163 2381 82
556 2417 135 2351 77
557 2414 142 2404 148
558 2436 137 2367 102
559 2444 145 2404 76
560 2428 124 2345 49
561 2427 144 2601 129
562 2423 137 2525 93
563 2442 152 2564 88
564 2430 137 2417 79
565 2445 160 2453 129
566 2452 139 2435 94
567 2438 124 2741 114
568 2459 137 2710 79
569 2591 169 2665 143
570 2462 133 2660 97
571 2476 138 2669 114
572 2489 149 2655 89
573 2487 143 2664 157
574 2506 160 2694 112
575 2510 168 2605 61
576 2500 141 2556 51
577 2492 166 2762 119
578 2469 155 2727 92
579 2486 154 2737 145
580 2486 150 2702 81
581 2516 182 2835 164
582 2485 120 2797 98
583 2493 134 2741 99
584 2499 138 2715 66
585 2512 173 2751 185
586 2516 148 2711 109
587 2524 146 2740 109
588 2545 174 2727 95
589 2542 183 2681 191
590 2539 165 2649 122
591 2548 152 2869 66
592 2575 170 2789 60
593 2559 161 2714 129
594 2557 146 2733 101
595 2782 139 2886 130
596 2561 132 2791 86
